Z:\data\JTB-E02\BACandBLUE\,JTB-E02-189-23.D,,,,JTB-E02-189-05.D,JTB-E02-189-018.D,JTB-E02-189-19.D,JTB-E02-189-20.D,JTB-E02-189-21.D,JTB-E02-189-22.D,JTB-E02-189-24.D
97,16.5066,"2-Hexen-1-ol, (E)- (CAS) $$ trans-2-Hexen-1-ol $$ (E)-2-Hexen-1-ol $$ trans-HEX-2-ENOL $$ trans-2-Hexenol $$ 2-Hexenol $$ 2-Hexen-1-ol, trans-",1.2921,91,16.53,16.505,,16.51,16.507,16.516,17.756
98,16.7876,"2-Hexen-1-ol, (Z)- (CAS) $$ CIS-HEX-2-EN-1-OL $$ cis-HEX-2-ENOL $$ cis-2-Hexen-1-ol",0.0338,90,,16.785,,16.792,16.79,16.796,17.891
99,17.0802,"Butanoic acid, 2-hydroxy-3-methyl-, ethyl ester (CAS) $$ ETHYL 2-HYDROXY ISOVALERATE $$ Ethyl 2-hydroxyisovalerate $$ Butyric acid, 2-hydroxy-3-methyl-, ethyl ester $$ Ethyl 2-hydroxy-3-methylbutanoate",0.0329,72,,17.078,,17.082,17.078,17.089,18.123
100,17.1601,"3-Methyl-5-(2,2,4-trimethylcyclopent-3-en-1-yl)pent-3-en-2-ol",0.027,47,,17.164,,17.165,17.165,17.174,18.505
101,17.3722,"Benzene, 1-methyl-4-(1-methylethenyl)- (CAS) $$ 1-Methyl-4-isopropenylbenzene $$ PARA CYMENYL $$ 4-Isopropenyl-1-methylbenzene $$ 2-p-Tolylpropene $$ Dehydro-p-cymene $$ p-Isopropenyltoluene $$ 4-Isopropenyltoluene $$ p,.alpha.-Dimethylstyrene $$ .alpha.,",0.0869,96,,17.372,,17.375,17.374,17.384,18.658
,,,,,,,17.411,,,,
102,17.4452,"4,8-DIMETHYL-2-OXABICYCLO(3.3.1)NON-3-ENE $$ Bicyclo[3.1.1]hept-2-ene-6-methanol, 2,6-dimethyl-, (1.alpha.,5.alpha.,6.beta.)-(.+-.)- (CAS)",0.0631,27,17.405,,,17.449,17.449,17.455,18.742
,,,,,17.544,,,,,,
103,17.6294,CIS-LINALOOL OXIDE,1.2088,91,17.644,17.629,,17.633,17.629,17.639,18.91
104,17.7548,"Ethane, isothiocyanato- (CAS) $$ Ethyl isothiocyanate $$ Ethyl mustard oil $$ Isothiocyanic acid, ethyl ester $$ ethylisothiocyanate $$ Isothiocyanatoethane",0.0673,43,,17.753,,,17.751,17.759,18.98
105,17.8886,1-OCTEN-3-OL,0.1098,64,,17.887,,17.892,17.889,17.897,19.133
106,18.1181,2-Furancarboxaldehyde (CAS) $$ Furfural $$ 2-Furaldehyde $$ Fural $$ Furole $$ Furale $$ Furfurole $$ 2-Furfural $$ Furaldehyde $$ Furancarbonal $$ 2-Formylfuran $$ .alpha.-Furole $$ Furfuraldehyde $$ 2-Furancarbonal $$ 2-Furanaldehyde $$ Furfurylaldehyde,2.6102,86,18.139,18.118,18.149,18.121,18.119,18.128,19.33
107,18.5032,TRANS-LINALOOL OXIDE,0.5931,91,18.4,18.503,,18.508,18.505,18.512,19.404
108,18.651,"tricyclo[4.2.2,0(1,5)]decan-3-one $$ 1H-1,3a-Ethanopentalen-5(4H)-one, tetrahydro-",0.0696,49,18.512,18.647,,18.652,18.657,18.659,19.563
109,18.7447,l-LIMONENE,0.0215,38,,,,,,,19.714
110,18.9064,"Benzene, 1,2,3,5-tetramethyl- (CAS) $$ 1,2,3,5-Tetramethylbenzene $$ Isodurene $$ 1,3,4,5-Tetramethylbenzene",0.0496,94,,18.904,,18.91,18.904,18.916,19.83
111,18.9756,"Benzene, 1,2,3,4-tetramethyl- (CAS) $$ Prehnitol $$ 1,2,3,4-Tetramethylbenzene $$ Prehnitene $$ 1,2,3,4-TETRAMETHYLBENZENE (PREHNITENE)",0.0479,60,,18.978,,18.982,18.978,18.984,19.928
112,19.1304,"1-Hexanol, 2-ethyl- (CAS) $$ 2-Ethylhexanol $$ 2-Ethyl-1-hexanol $$ Ethylhexanol $$ 2-Ethylhexan-1-ol $$ 2-Ethylhexyl alcohol $$ 2-Ethyl-hexanol-1 $$ Ethylhexyl alcohol $$ Octyl alcohol $$ 2-Ethylhexanol-1",0.0843,91,19.139,19.13,,19.134,19.13,19.139,20.113
113,19.3265,"2-Acetyl-4,5-dimethylphenol $$ Ethanone, 1-(2-hydroxy-4,5-dimethylphenyl)- (CAS) $$ 2-Hydroxy-4,5-dimethylacetophenone $$ 2'-Hydroxy-4',5'-dimethylacetophenone $$ 4',5'-Dimethyl-2'-hydroxyacetophenone $$ Acetophenone, 2'-hydroxy-4',5'-dimethyl-",0.0199,68,19.325,19.327,,19.327,19.326,19.335,20.22
114,19.4006,"Ethanone, 1-(2-furanyl)- (CAS) $$ 2-Acetylfuran $$ 2-Furyl methyl ketone $$ Acetylfuran $$ Methyl 2-furyl ketone $$ Ketone, 2-furyl methyl $$ Furyl methyl ketone $$ Furan, 2-acetyl- $$ 1-(2-Furanyl)ethanone",0.094,90,19.418,19.401,,19.404,19.402,,20.302
,,,,,19.479,,,,,19.41,
115,19.5613,"Bicyclo[4.1.0]heptan-2-one, 3,5,5-trimethyl- (CAS) $$ 3,5,5-TRIMETHYL-BICYCLO(4.1.O)HEPTANE-2-ONE $$ 2-Norcaranone, 3,5,5-dimethyl- $$ 2-Norcaranone, 3,5,5-trimethyl-, stereoisomer",0.1023,50,19.548,19.562,19.549,19.557,19.559,19.567,20.485
116,19.7135,"PIPERITONE SEMICARBAZONE $$ Hydrazinecarboxamide, 2-[3-methyl-6-(1-methylethyl)-2-cyclohexen-1-ylidene]- (CAS) $$ p-Menth-1-en-3-one, semicarbazone $$ Hydrazinecarboxamide, 2-[3-methyl-6-(1-methylethyl)-2-cyclohexen-1-ylidene]-, stereoisomer",0.2304,70,19.7,19.708,19.708,19.717,19.716,19.716,20.681
117,19.8266,DILL ETHER,0.2624,93,,19.827,,19.831,19.828,19.836,20.845
118,19.9246,Benzaldehyde (CAS) $$ Phenylmethanal $$ Benzenecarbonal $$ Benzaldehyde FFC $$ Benzoic aldehyde $$ Artificial Almond Oil $$ Benzenecarboxaldehyde $$ Almond artificial essential oil $$ Phenylmethanal benzenecarboxaldehyde $$ Benzadehyde $$ NCI-C56133 $$ Oi,0.2123,91,19.944,19.924,,19.927,19.925,19.933,20.963
,,,,,,,19.947,,,20.12,
119,20.1108,"Bicyclo[2.2.1]hept-2-ene, 2,7,7-trimethyl- $$ 2-Norbornene, 2,7,7-trimethyl- $$ .zeta.-Fenchene",0.4025,91,,20.112,,20.115,20.112,,21.061
120,20.2173,"(+,-)-(2R,5R)-2,10,10-Trimethyl-6-methylidene-1-oxaspiro(4.5)dec-7-ene $$ 1-Oxaspiro[4.5]dec-7-ene, 2,10,10-trimethyl-6-methylene-, trans-(.+-.)- (CAS)",3.013,94,,20.216,,20.221,20.217,20.225,21.189
121,20.2967,"(+,-)-(2R,5R)-2,10,10-Trimethyl-6-methylidene-1-oxaspiro(4.5)dec-7-ene $$ 1-Oxaspiro[4.5]dec-7-ene, 2,10,10-trimethyl-6-methylene-, trans-(.+-.)- (CAS)",2.0936,95,20.314,20.296,,20.3,20.299,20.308,21.445
,,,,,,,20.325,,,,
122,20.479,"Pentadecane, 2,6,10,14-tetramethyl- (CAS) $$ Pristane $$ PRISTANE (FIELD ION) $$ 2,6,10,14-Tetramethylpentadecane $$ Pristan $$ Norphytan $$ Norphytane $$ Bute hydrocarbon $$ 2,6,10,14-TETRAMETHYL PENTADECANE",0.0629,43,20.476,20.477,20.487,20.479,20.479,20.485,21.624
123,20.6759,"2-Pentene, 3,4-dimethyl-, (E)- (CAS) $$ 3,4-Dimethyl-trans-2-pentene $$ (E)-3,4-Dimethyl-2-pentene $$ trans-3,4-Dimethyl-2-pentene $$ (E)-(CH3)2C=CHCH(CH3)2",0.0648,41,20.732,20.677,,20.678,20.678,20.685,21.705
124,20.8418,LINALOOL L,0.945,97,20.863,20.843,,20.845,20.842,20.85,21.886
125,20.9602,"CARYOPHYLL-4-EN-2,6-.BETA.-OXIDE $$ 12-Oxatricyclo[6.3.1.0(2,5)]dodec-9-ene, 1,4,4,8-tetramethyl-, (1.alpha.,2.beta.,5.alpha.,8.alpha.,9Z)- (CAS) $$ Caryophyll-4-en 2,6-.beta.-oxide $$ 12-Oxatricyclo[6.3.1.02,5]dodec-9-ene, 1,4,4,8-tetramethyl-, (1.alpha.",0.1446,81,,20.96,,20.961,20.96,20.968,22.072
126,21.056,"Ethanol, 2-bromo- (CAS) $$ 2-Bromoethanol $$ Ethylene bromohydrin $$ 1-Bromo-2-ethanol $$ Glycol bromohydrin $$ 2-Hydroxyethyl bromide $$ CH2BrCH2OH(trans)",0.046,25,21.205,,,,,,22.321
127,21.1877,1-Octanol (CAS) $$ Octilin $$ Alfol 8 $$ Sipol L8 $$ n-Octanol $$ n-Octan-1-ol $$ Octyl alcohol $$ Octanol $$ n-Octyl alcohol $$ Heptyl carbinol $$ Caprylic alcohol $$ 1-Hydroxyoctane $$ Octan-1-ol $$ Alcohol c-8 $$ Capryl alcohol $$ n-Heptyl carbinol $$,0.3382,90,,21.186,,21.191,21.189,21.195,22.448
,,,,,,,21.206,,,,
128,21.441,"2-Furancarboxaldehyde, 5-methyl- (CAS) $$ 5-Methyl-2-furfural $$ 5-METHYLFURAN-2-ALDEHYDE $$ 5-Methylfurfural $$ Furfural, 5-methyl- $$ 5-Methylfurfuraldehyde $$ 2-Methyl-5-formylfuran $$ 5-Methyl-2-furaldehyde $$ 2-Formyl-5-methylfuran $$ 2-Furaldehyde,",0.1305,64,21.45,21.438,,21.442,21.441,21.449,22.547
129,21.6194,"1H-Imidazole-4-carboxylic acid, methyl ester (CAS) $$ 4(5)-METHOXY CARBONYLIMIDAZOLE $$ 4-Methoxycarbonylimidazole $$ Methyl imidazole-4-carboxylate $$ Imidazole-4-carboxylic acid, methyl ester",0.0413,72,21.679,21.619,21.682,21.62,21.621,21.629,22.745
130,21.7012,TERPINENE 1-OL,0.1064,95,,21.701,,21.708,21.702,21.709,22.838
131,21.8883,16-oxosalutaridine,0.0809,47,21.876,21.877,21.885,21.884,21.881,21.882,22.923
132,22.0726,"Hastanecine $$ (-)-hastanecine $$ 1H-Pyrrolizine-1-methanol, hexahydro-7-hydroxy-, [1S-(1.alpha.,7.alpha.,7a.alpha.)]- $$ Hastanecin",0.0412,38,,22.067,,22.073,22.07,22.084,23.101
,,,,,22.266,,,,,,
133,22.3209,DILL ETHER,0.0618,91,,22.317,,22.32,22.319,22.329,23.296
134,22.4461,TERPINEOL-4,0.2224,97,22.471,22.445,,22.449,22.447,22.453,23.393
135,22.5426,"Dihydrocarvone $$ Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans- (CAS) $$ Carvone, dihydro- $$ trans-Dihydrocarvone $$ p-Menth-8-en-2-one, trans- $$ d-Dihydrocarvone $$ 4-[(1'-methyl)vinyl]-1-methylcyclohexan-2-one $$ p-Menth-8-en-2-one, E-",0.1712,96,,22.54,,22.545,22.544,22.552,23.627
136,22.7427,"3-Cyclohexene-1-acetaldehyde, .alpha.,4-dimethyl- (CAS) $$ 1-p-Menthen-9-al $$ .alpha.,4-Dimethyl-3-cyclohexene-1-acetaldehyde $$ p-Menth-1-en-9-al",0.1408,94,22.762,22.742,,22.745,22.742,22.749,23.824
137,22.8341,"Bicyclo[2.2.1]hept-2-ene, 2,3-dimethyl- (CAS) $$ Santene $$ Santen $$ 2-Norbornene, 2,3-dimethyl-",0.1442,53,22.859,22.834,,22.84,22.838,22.843,23.945
138,22.9188,".beta.-Cyclocitral $$ 1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl- (CAS) $$ 1-Formyl-2,6,6-trimethyl-1-cyclohexene",0.2673,86,22.966,22.92,22.975,22.925,22.92,22.928,24.049
139,23.0996,TRANS-DIHYDROCARVONE,0.0397,90,,23.099,,23.103,23.101,23.112,24.188
140,23.2947,.BETA. TERPINEOL,0.0404,98,,23.292,,23.296,23.294,23.3,24.348
141,23.3911,"2-Methoxy-1,4-benzenediamine",0.1556,35,,23.39,,23.395,23.392,23.398,24.443
142,23.6258,"1,3-Cyclohexadiene-1-carboxaldehyde, 2,6,6-trimethyl- (CAS) $$ Safranal",0.3302,96,23.616,23.625,,23.629,23.627,23.632,24.588
143,23.8226,Methyl-d3 1-Dideuterio-2-propenyl Ether,0.3583,5,23.815,23.82,23.824,23.825,23.822,23.829,24.687
144,23.9436,".ALPHA.-PINENE, (-)- $$ Bicyclo[3.1.1]hept-2-ene, 2,6,6-trimethyl- (CAS) $$ Pinene $$ 2-Pinene $$ .alpha.-Pinene $$ 2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene $$ .alpha.-(+)-Pinene $$ ALPHA-PINENE $$ ALFA-PINENE $$ Pinene isomer $$ PINENE, .alpha. $$ 2,6,6-T",0.1572,76,,23.944,,23.947,23.944,23.948,24.918
145,24.0574,"Butane, 2,3-dichloro-2-methyl- (CAS) $$ 2,3-Dichloro-2-methylbutane $$ Amylene dichloride",0.0284,25,,24.049,,24.049,24.049,24.059,25.175
146,24.1878,1-NONANOL,0.1774,58,24.183,24.185,,24.189,24.188,24.193,25.297
147,24.352,"endo-Borneol $$ Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, endo- (CAS) $$ Borneol (CAS) $$ Camphol $$ endo-2-Hydroxy-1,7,7-trimethylnorbornane $$ Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl- $$ 2-Bornanol, endo- $$ Baros camphor $$ Bhimsaim camphor $$ Bo",0.0313,95,24.259,24.351,,24.356,24.353,24.351,25.726
,,,,,,,24.194,,,,
148,24.4442,"2-phenyl-3,7-dimethyl-4-(4-chlorophenyl)-6,8-dioxo-2,3,7-triazabicyclo[3.3.0]octane $$ Pyrrolo[3,4-c]pyrazole-4,6(1H,5H)-dione, 3-(4-chlorophenyl)tetrahydro-2,5-dimethyl-1-phenyl-, (3.alpha.,3a.alpha.,6a.alpha.)-",0.021,45,24.444,24.44,24.44,24.446,24.441,24.445,25.923
149,24.5856,"2-oxo-2,3,6,7,8,9-hexahydro-5H-pyrrolo[1,2-a]azepine",0.1679,43,24.559,24.583,24.57,24.589,24.584,24.594,25.986
,,,,,24.693,,,,,,
150,24.9177,"SANTENE $$ BICYCLO[2.2.1]HEPT-2-ENE, 2,3-DIMETHYL",0.8505,59,24.923,24.917,,24.919,24.918,24.922,26.124
151,25.1744,.ALPHA. TERPINEOL,3.9751,91,25.181,25.174,,25.177,25.175,25.18,26.198
152,25.295,"1,7,7-trimethyl-2-hydroxybicyclo[2.2.1]heptane",0.2785,90,25.317,25.295,24.925,25.298,25.297,25.301,26.423
,,,,,25.344,,25.187,25.522,,,
,,,,,25.524,,,,,,
153,25.7235,"phellandral $$ p-menth-1-en-7-al $$ 1-Cyclohexene-1-carboxaldehyde, 4-(1-methylethyl)-, (S)- $$ 1-Cyclohexene-1-carboxaldehyde, 4-isopropyl-, (S)-(-)-",0.0437,93,,25.723,,25.727,25.722,25.731,26.616
154,25.915,"4-METHYL-1,2,3,4,5,6-HEXAHYDRO-1,5-METHANO-4,1-BENZAZAPHOSPHOCINE $$ 2H-1,5-Methano-4,1-benzazaphosphocine, 3,4,5,6-tetrahydro-4-methyl- (CAS)",0.0163,50,,25.922,,,,25.903,26.647
155,25.9819,"L-Aspartic acid, N-[(phenylmethoxy)carbonyl]- (CAS) $$ Carbobenzoxy-L-aspartic acid $$ N-Carbobenzoxy-L-aspartic acid $$ N-Benzyloxycarbonylaspartic acid $$ N-Benzyloxycarbonyl-L-aspartic acid $$ N-(Benzyloxycarbonyl)-L-aspartic acid $$ Aspartic acid, N-(",0.0151,53,,25.981,,,25.981,25.978,26.825
156,26.1131,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)- (CAS) $$ 2-Methyl-5-isopropenyl-2-cyclohexenone $$ Carvol $$ Karvon $$ Carvone $$ 1-Carvone $$ p-Mentha-6,8-dien-2-one $$ .delta.(sup 6,8)-(9)-Terpadienone-2 $$ .delta.-1-Methyl-4-isopropenyl-6-cyclohexen-",0.0276,52,,26.122,,26.13,26.121,26.122,26.914
157,26.198,"1H-Inden-1-one, 2,3-dihydro-3,3,4,5-tetramethyl- (CAS) $$ 3,3,4,5-TETRAMETHYL-1-INDANONE",0.0385,46,26.173,26.2,26.189,26.198,26.199,26.202,27.05
158,26.4216,"Naphthalene, 1,2-dihydro-1,1,6-trimethyl- (CAS) $$ 1,1,6-trimethyl-1,2-dihydronaphthalene $$ 3,8,8-Trimethildihydronaphthalene",1.3447,96,26.433,26.421,,26.425,26.422,26.428,27.22
159,26.5826,"Butanoic acid, 3-methyl- (CAS) $$ Isovaleric acid $$ Delphinic acid $$ 3-Methylbutyrate $$ Isopentanoic acid $$ Isopropylacetic acid $$ 3-Methylbutyric acid $$ 3-Methylbutanoic acid $$ Acetic acid, isopropyl- $$ .beta.-Methylbutyric acid $$ iso-C4H9COOH $",0.0304,62,,,26.437,,,26.582,27.364
160,26.6386,"Pentanoic acid (CAS) $$ Valeric acid $$ n-Valeric acid $$ Valerianic acid $$ n-Pentanoic acid $$ Propylacetic acid $$ 1-Butanecarboxylic acid $$ n-C4H9COOH $$ Butanecarboxylic acid $$ Valeric acid, N- $$ Kyselina valerova $$ NA 1760",0.0823,59,,26.626,,,,,27.626
,,,,,,,,,,26.661,
161,26.72,"Pentanoic acid (CAS) $$ Valeric acid $$ n-Valeric acid $$ Valerianic acid $$ n-Pentanoic acid $$ Propylacetic acid $$ 1-Butanecarboxylic acid $$ n-C4H9COOH $$ Butanecarboxylic acid $$ Valeric acid, N- $$ Kyselina valerova $$ NA 1760",0.0199,72,,,,,,26.704,27.721
162,26.7618,"Butanoic acid, 3-methyl- (CAS) $$ Isovaleric acid $$ Delphinic acid $$ 3-Methylbutyrate $$ Isopentanoic acid $$ Isopropylacetic acid $$ 3-Methylbutyric acid $$ 3-Methylbutanoic acid $$ Acetic acid, isopropyl- $$ .beta.-Methylbutyric acid $$ iso-C4H9COOH $",0.0333,78,,,,,,,27.814
163,26.829,"Pentanoic acid (CAS) $$ Valeric acid $$ n-Valeric acid $$ Valerianic acid $$ n-Pentanoic acid $$ Propylacetic acid $$ 1-Butanecarboxylic acid $$ n-C4H9COOH $$ Butanecarboxylic acid $$ Valeric acid, N- $$ Kyselina valerova $$ NA 1760",0.0982,58,,26.823,,,,26.835,28.078
164,26.9089,3 METHYL PENTANOIC ACID $$ 3 METHYL VALERIC ACID,0.0451,64,26.909,26.899,,26.921,26.921,26.922,28.249
165,27.0487,"Thieno[2,3-b]pyridine 7-oxide $$ Thieno[2,3-b]pyridine, 7-oxide (CAS)",0.2676,43,27.034,27.044,27.056,27.048,27.051,27.053,28.35
166,27.137,"Butanoic acid, 3-methyl- (CAS) $$ Isovaleric acid $$ Delphinic acid $$ 3-Methylbutyrate $$ Isopentanoic acid $$ Isopropylacetic acid $$ 3-Methylbutyric acid $$ 3-Methylbutanoic acid $$ Acetic acid, isopropyl- $$ .beta.-Methylbutyric acid $$ iso-C4H9COOH $",0.0298,38,,,,,,,28.424
167,27.2163,"Benzoic acid, 2-hydroxy-, methyl ester (CAS) $$ Methyl salicylate $$ Salicylic acid methyl ester $$ Betula $$ Exagien $$ Analgit $$ Flucarmit $$ Betula oil $$ Betula lenta $$ Teaberry oil $$ Spicewood oil $$ Gaultheriaoel $$ Gaultheria oil $$ Wintergrueno",0.2258,90,27.218,27.215,27.239,27.221,27.221,27.223,28.534
168,27.3741,"Butanoic acid, 3-methyl- (CAS) $$ Isovaleric acid $$ Delphinic acid $$ 3-Methylbutyrate $$ Isopentanoic acid $$ Isopropylacetic acid $$ 3-Methylbutyric acid $$ 3-Methylbutanoic acid $$ Acetic acid, isopropyl- $$ .beta.-Methylbutyric acid $$ iso-C4H9COOH $",0.1322,46,27.388,27.369,,27.376,27.377,27.37,28.663
,,,,,,,,27.456,27.438,,
169,27.625,"Bicyclo[2.2.1]hept-2-ene, 2,3-dimethyl- (CAS) $$ Santene $$ Santen $$ 2-Norbornene, 2,3-dimethyl-",0.1199,49,27.657,27.625,,27.627,27.627,27.632,28.837
170,27.7172,1-(2-Methylbutyl)-2-formyl pyrrole,0.0611,95,,27.716,,27.721,27.72,27.72,28.927
171,27.8144,"myrtenol $$ BICYCLO[3.1.1]HEPT-2-ENE-2-METHANOL, 6,6-DIMETHYL- $$ 2-hydroxymethyl-7,7-dimethylbicyclo[3.1.1]heptan-2-ene",0.0437,91,,27.819,,27.817,27.817,27.819,29.118
172,28.0755,1-Isoamyl-2-formyl pyrrole,0.1694,91,28.086,28.073,28.09,28.078,28.078,28.08,29.247
173,28.2497,"Spiro[2.4]heptane, 4-methylene- (CAS) $$ 4-Methylenespiro[2.4]heptane",0.0803,49,28.259,28.249,,28.251,28.252,28.254,29.445
174,28.3506,B-PHENYLETHYL ACETATE,0.074,72,28.386,28.358,28.368,28.352,28.353,28.356,29.725
175,28.4197,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",0.0418,53,,28.397,,28.425,28.417,28.42,29.928
176,28.5338,".beta.-Damascenone $$ 2-Buten-1-one, 1-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-, (E)- (CAS) $$ Damascenone $$ Damascenone, trans- $$ trans-.beta.-Damascenone $$ 2,6,6-Trimethyl-1-trans-crotonoyl-1,3-cyclohexadiene $$ (E)-1-(2,6,6-trimethylcyclohexa-1,3-d",0.0873,94,,28.533,,28.535,28.534,28.537,30.057
177,28.6617,"trans-1,2,3,4,4a,5,6,7-Octahydro-4a-methyl-2-(1-methylethenyl)naphthalene",0.0434,53,28.686,28.663,,28.664,28.668,28.672,30.102
178,28.8351,"Cyclopentene, 3-ethylidene-1-methyl- (CAS)",0.0322,64,28.819,28.83,,28.837,28.836,28.844,30.23
179,28.9263,"trans-Carveol $$ 2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-, trans- (CAS) $$ p-Mentha-6,8-dien-2-ol, trans- $$ trans-Mentha-1,8-dien-6-ol",0.0598,95,28.937,28.925,,28.93,28.928,28.93,30.536
180,29.1204,".alpha.-campholene aldehyde $$ Cyclopentanecarboxaldehyde, 1,2,2,3-tetramethyl- $$ Campholaldehyde",0.0185,46,,,,,,29.118,30.637
181,29.2459,"1-methyladamantane $$ Tricyclo[3.3.1.13,7]decane, 1-methyl- $$ Adamantane, 1-methyl-",0.1186,83,29.248,29.245,,29.25,29.246,29.251,30.837
182,29.4567,"Phenol, 2-methoxy- (CAS) $$ Guaiacol $$ o-Methoxyphenol $$ Guajol $$ Guasol $$ Anastil $$ Guaiastil $$ Guaicolina $$ o-Guaiacol $$ Pyroguaiac acid $$ o-Hydroxyanisole $$ 2-Hydroxyanisole $$ O-Methyl catechol $$ Phenol, o-methoxy- $$ 2-Methoxyphenol pionit",0.0127,43,,29.447,,,29.444,29.452,30.909
,,,,,29.534,,,,,,
183,29.7275,"cis-Carveol $$ 2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-, cis- (CAS) $$ p-Mentha-6,8-dien-2-ol, cis- $$ cis-Mentha-1,8-dien-6-ol",0.0184,86,,29.726,,29.73,29.724,29.729,31.134
184,29.9279,Benzenemethanol (CAS) $$ Benzyl alcohol $$ Benzal alcohol $$ Phenylmethanol $$ Phenylcarbinol $$ Benzenecarbinol $$ .alpha.-Toluenol $$ .alpha.-Hydroxytoluene $$ (Hydroxymethyl)benzene $$ Phenylmethyl alcoholine $$ Phenylmethyl alcohol $$ Benzoyl alcohol,0.0411,96,,29.926,,29.931,29.929,29.931,31.25
,,,,,,,,,30.044,30.044,
185,30.0611,"Cyclotetrasiloxane, octamethyl- (CAS) $$ 1,1,3,3,5,5,7,7-OCTAMETHYL-CYCLOOCTASILOXANE $$ OCTAMETHYL-(CYCLIC TETRAMER) CYCLOTETRASILOXANE $$ Octamethylcyclotetrasiloxane $$ NUC Silicone VS 7207 $$ Octamethyl-cyclotetrasiloxane $$ Oktamethylcyklotetrasiloxa",0.0147,68,30.054,30.075,,30.044,30.069,30.069,31.364
186,30.0991,"Cyclotetrasiloxane, octamethyl- (CAS) $$ 1,1,3,3,5,5,7,7-OCTAMETHYL-CYCLOOCTASILOXANE $$ OCTAMETHYL-(CYCLIC TETRAMER) CYCLOTETRASILOXANE $$ Octamethylcyclotetrasiloxane $$ NUC Silicone VS 7207 $$ Octamethyl-cyclotetrasiloxane $$ Oktamethylcyklotetrasiloxa",0.0193,47,,,,30.107,30.109,30.116,31.558
187,30.2296,"1-(2-amino-phenyl)-3-methyl-1,3-pentadiene",0.0339,72,,30.228,,30.234,30.228,30.232,31.704
,,,,,30.375,30.606,,,,,
,,,,,30.411,,,,,,
188,30.5271,"Silicic acid (H4SiO4), tetramethyl ester (CAS) $$ Tetramethoxysilane $$ Tetramethyl silicate $$ Methyl orthosilicate $$ Silane, tetramethoxy- $$ Methyl silicate ((MeO)4Si) $$ Tetra-methyl orthosilicate $$ Methyl silicate ((CH3)4SiO4) $$ Silicic acid, tetr",0.0065,46,,,,,,30.531,32.041
189,30.5924,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",0.0041,64,,,,,,,32.707
190,30.8378,"Benzeneethanol (CAS) $$ Phenethyl alcohol $$ PEA $$ PHENETHYL ALCOLHOL $$ Phenethanol $$ .beta.-PEA $$ Benzyl carbinol $$ 2-Phenylethanol $$ Ethanol, 2-phenyl- $$ 2-Phenethyl alcohol $$ .beta.-Phenylethanol $$ .beta.-Phenethyl alcohol $$ .beta.-Hydroxyeth",0.0697,94,30.838,30.837,30.84,30.84,30.836,30.842,32.926
191,30.909,"Phenol, 2,6-bis(1,1-dimethylethyl)-4-methyl- (CAS) $$ 4-Methyl-2,6-di-tert-butylphenol $$ BHT $$ P 21 $$ CAO 3 $$ AO 29 $$ CAO 1 $$ AO 4K $$ DBPC $$ P 21 $ $$ 2,6-DI-TERT-4-METHYLPHENOL $$ Buks $$ Ional $$ Ionole $$ Deenax $$ Dalpac $$ Stavox $$ Vianol $$",0.021,93,,30.911,,30.909,30.915,30.919,33.032
,,,,,,30.991,,,,,
192,31.1363,"Indolizine (CAS) $$ Indolizin $$ Pyrrocolin $$ Pyrrocoline $$ Pyrrolo[1,2-a]pyridine",0.023,62,31.134,31.135,,31.137,31.138,31.139,33.13
,,,,,,31.179,,,,,
193,31.2489,"2,4,5-Tri-sec-butylphenol",0.0431,59,31.25,31.247,31.25,31.25,31.248,31.248,33.391
194,31.3598,"Benzenamine, 2,3,4,5,6-pentamethyl- (CAS) $$ PENTAMETHYLAMINOBENZENE $$ 2,3,4,5,6-Pentamethylaniline",0.0162,64,,,,31.368,31.363,31.37,33.586
195,31.5553,"edulan I $$ 2H-1-Benzopyran, 3,5,6,8a-tetrahydro-2,5,5,8a-tetramethyl-, trans- (CAS) $$ trans-Edulan",0.0441,56,,,,31.557,31.559,31.562,33.683
,,,,,,31.367,,,,,
,,,,,,31.557,,,,,
196,31.7038,"Benzenamine, 2,3,4,5,6-pentamethyl- (CAS) $$ PENTAMETHYLAMINOBENZENE $$ 2,3,4,5,6-Pentamethylaniline",0.0228,58,,31.71,,31.707,31.699,31.707,34.593
,,,,,,,,,31.909,,
